#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
92,Fantominus,Spectre,Poison,310,30,35,30,100,35,80,1,False
93,Spectrum,Spectre,Poison,405,45,50,45,115,55,95,1,False
94,Ectoplasma,Spectre,Poison,500,60,65,60,130,75,110,1,False
94,EctoplasmaMéga-Ectoplasma,Spectre,Poison,600,60,65,80,170,95,130,1,False
95,Onix,Roche,Sol,385,35,45,160,30,45,70,1,False
96,Soporifik,Psy,,328,60,48,45,43,90,42,1,False
97,Hypnomade,Psy,,483,85,73,70,73,115,67,1,False
98,Krabby,Eau,,325,30,105,90,25,25,50,1,False
99,Krabboss,Eau,,475,55,130,115,50,50,75,1,False
100,Voltorbe,Electrik,,330,40,30,50,55,55,100,1,False
101,Électrode,Electrik,,480,60,50,70,80,80,140,1,False
102,Noeunoeuf,Plante,Psy,325,60,40,80,60,45,40,1,False
103,Noadkoko,Plante,Psy,520,95,95,85,125,65,55,1,False
104,Osselait,Sol,,320,50,50,95,40,50,35,1,False
105,Ossatueur,Sol,,425,60,80,110,50,80,45,1,False
106,Kicklee,Combat,,455,50,120,53,35,110,87,1,False
107,Tygnon,Combat,,455,50,105,79,35,110,76,1,False
108,Excelangue,Normal,,385,90,55,75,60,75,30,1,False
109,Smogo,Poison,,340,40,65,95,60,45,35,1,False
110,Smogogo,Poison,,490,65,90,120,85,70,60,1,False
111,Rhinocorne,Sol,Roche,345,80,85,95,30,30,25,1,False
112,Rhinoféros,Sol,Roche,485,105,130,120,45,45,40,1,False
113,Leveinard,Normal,,450,250,5,5,35,105,50,1,False
114,Saquedeneu,Plante,,435,65,55,115,100,40,60,1,False
115,Kangourex,Normal,,490,105,95,80,40,80,90,1,False
115,KangourexMéga-Kangourex,Normal,,590,105,125,100,60,100,100,1,False
116,Hypotrempe,Eau,,295,30,40,70,70,25,60,1,False
117,Hypocéan,Eau,,440,55,65,95,95,45,85,1,False
118,Poissirène,Eau,,320,45,67,60,35,50,63,1,False
119,Poissoroy,Eau,,450,80,92,65,65,80,68,1,False
120,Stari,Eau,,340,30,45,55,70,55,85,1,False
121,Staross,Eau,Psy,520,60,75,85,100,85,115,1,False
122,M. Mime,Psy,Fee,460,40,45,65,100,120,90,1,False
123,Insécateur,Insecte,Vol,500,70,110,80,55,80,105,1,False
124,Lippoutou,Glace,Psy,455,65,50,35,115,95,95,1,False
125,Élektek,Electrik,,490,65,83,57,95,85,105,1,False
126,Magmar,Feu,,495,65,95,57,100,85,93,1,False
127,Scarabrute,Insecte,,500,65,125,100,55,70,85,1,False
127,ScarabruteMéga-Scarabrute,Insecte,Vol,600,65,155,120,65,90,105,1,False
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False
129,Magicarpe,Eau,,200,20,10,55,15,20,80,1,False
130,Léviator,Eau,Vol,540,95,125,79,60,100,81,1,False
130,LéviatorMéga-Léviator,Eau,Tenebres,640,95,155,109,70,130,81,1,False
131,Lokhlass,Eau,Glace,535,130,85,80,85,95,60,1,False
132,Métamorph,Normal,,288,48,48,48,48,48,48,1,False
133,Évoli,Normal,,325,55,55,50,45,65,55,1,False
134,Aquali,Eau,,525,130,65,60,110,95,65,1,False
135,Voltali,Electrik,,525,65,65,60,110,95,130,1,False
136,Pyroli,Feu,,525,65,130,60,95,110,65,1,False
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False
138,Amonita,Roche,Eau,355,35,40,100,90,55,35,1,False
139,Amonistar,Roche,Eau,495,70,60,125,115,70,55,1,False
140,Kabuto,Roche,Eau,355,30,80,90,55,45,55,1,False
141,Kabutops,Roche,Eau,495,60,115,105,65,70,80,1,False
142,Ptéra,Roche,Vol,515,80,105,65,60,75,130,1,False
142,PtéraMéga-Ptéra,Roche,Vol,615,80,135,85,70,95,150,1,False
143,Ronflex,Normal,,540,160,110,65,65,110,30,1,False
144,Artikodin,Glace,Vol,580,90,85,100,95,125,85,1,True
145,Électhor,Electrik,Vol,580,90,90,85,125,90,100,1,True
146,Sulfura,Feu,Vol,580,90,100,90,125,85,90,1,True
147,Minidraco,Dragon,,300,41,64,45,50,50,50,1,False
148,Draco,Dragon,,420,61,84,65,70,70,70,1,False
149,Dracolosse,Dragon,Vol,600,91,134,95,100,100,80,1,False
150,Mewtwo,Psy,,680,106,110,90,154,90,130,1,True
150,MewtwoMéga-Mewtwo X,Psy,Combat,780,106,190,100,154,100,130,1,True
150,MewtwoMéga-Mewtwo Y,Psy,,780,106,150,70,194,120,140,1,True
151,Mew,Psy,,600,100,100,100,100,100,100,1,False
152,Germignon,Plante,,318,45,49,65,49,65,45,2,False
153,Macronium,Plante,,405,60,62,80,63,80,60,2,False
154,Méganium,Plante,,525,80,82,100,83,100,80,2,False
155,Héricendre,Feu,,309,39,52,43,60,50,65,2,False
156,Feurisson,Feu,,405,58,64,58,80,65,80,2,False
157,Typhlosion,Feu,,534,78,84,78,109,85,100,2,False
158,Kaiminus,Eau,,314,50,65,64,44,48,43,2,False
159,Crocrodil,Eau,,405,65,80,80,59,63,58,2,False
160,Aligatueur,Eau,,530,85,105,100,79,83,78,2,False
161,Fouinette,Normal,,215,35,46,34,35,45,20,2,False
162,Fouinar,Normal,,415,85,76,64,45,55,90,2,False
163,Hoothoot,Normal,Vol,262,60,30,30,36,56,50,2,False
164,Noarfang,Normal,Vol,442,100,50,50,76,96,70,2,False
165,Coxy,Insecte,Vol,265,40,20,30,40,80,55,2,False
166,Coxyclaque,Insecte,Vol,390,55,35,50,55,110,85,2,False
167,Mimigal,Insecte,Poison,250,40,60,40,40,40,30,2,False
168,Migalos,Insecte,Poison,390,70,90,70,60,60,40,2,False
169,Nostenfer,Poison,Vol,535,85,90,80,70,80,130,2,False
170,Loupio,Eau,Electrik,330,75,38,38,56,56,67,2,False
171,Lanturn,Eau,Electrik,460,125,58,58,76,76,67,2,False
172,Pichu,Electrik,,205,20,40,15,35,35,60,2,False
173,Mélo,Fee,,218,50,25,28,45,55,15,2,False
174,Toudoudou,Normal,Fee,210,90,30,15,40,20,15,2,False
175,Togepi,Fee,,245,35,20,65,40,65,20,2,False
176,Togetic,Fee,Vol,405,55,40,85,80,105,40,2,False
177,Natu,Psy,Vol,320,40,50,45,70,45,70,2,False
178,Xatu,Psy,Vol,470,65,75,70,95,70,95,2,False
179,Wattouat,Electrik,,280,55,40,40,65,45,35,2,False
180,Lainergie,Electrik,,365,70,55,55,80,60,45,2,False
181,Pharamp,Electrik,,510,90,75,85,115,90,55,2,False
181,PharampMéga-Pharamp,Electrik,Dragon,610,90,95,105,165,110,45,2,False
182,Joliflor,Plante,,490,75,80,95,90,100,50,2,False
183,Marill,Eau,Fee,250,70,20,50,20,50,40,2,False
184,Azumarill,Eau,Fee,420,100,50,80,60,80,50,2,False
185,Simularbre,Roche,,410,70,100,115,30,65,30,2,False
186,Tarpaud,Eau,,500,90,75,75,90,100,70,2,False
187,Granivol,Plante,Vol,250,35,35,40,35,55,50,2,False
188,Floravol,Plante,Vol,340,55,45,50,45,65,80,2,False
189,Cotovol,Plante,Vol,460,75,55,70,55,95,110,2,False
190,Capumain,Normal,,360,55,70,55,40,55,85,2,False
191,Tournegrin,Plante,,180,30,30,30,30,30,30,2,False
192,Héliatronc,Plante,,425,75,75,55,105,85,30,2,False
193,Yanma,Insecte,Vol,390,65,65,45,75,45,95,2,False
194,Axoloto,Eau,Sol,210,55,45,45,25,25,15,2,False
195,Maraiste,Eau,Sol,430,95,85,85,65,65,35,2,False
196,Mentali,Psy,,525,65,65,60,130,95,110,2,False
197,Noctali,Tenebres,,525,95,65,110,60,130,65,2,False
198,Cornèbre,Tenebres,Vol,405,60,85,42,85,42,91,2,False
199,Roigada,Eau,Psy,490,95,75,80,100,110,30,2,False
200,Feuforêve,Spectre,,435,60,60,60,85,85,85,2,False
201,Zarbi,Psy,,336,48,72,48,72,48,48,2,False
202,Qulbutoké,Psy,,405,190,33,58,33,58,33,2,False
203,Girafarig,Normal,Psy,455,70,80,65,90,65,85,2,False
204,Pomdepik,Insecte,,290,50,65,90,35,35,15,2,False
205,Foretress,Insecte,Acier,465,75,90,140,60,60,40,2,False
206,Insolourdo,Normal,,415,100,70,70,65,65,45,2,False
207,Scorplane,Sol,Vol,430,65,75,105,35,65,85,2,False
208,Steelix,Acier,Sol,510,75,85,200,55,65,30,2,False
208,SteelixMéga-Steelix,Acier,Sol,610,75,125,230,55,95,30,2,False
209,Snubbull,Fee,,300,60,80,50,40,40,30,2,False
210,Granbull,Fee,,450,90,120,75,60,60,45,2,False
211,Qwilfish,Eau,Poison,430,65,95,75,55,55,85,2,False
212,Cizayox,Insecte,Acier,500,70,130,100,55,80,65,2,False
212,CizayoxMéga-Cizayox,Insecte,Acier,600,70,150,140,65,100,75,2,False
213,Caratroc,Insecte,Roche,505,20,10,230,10,230,5,2,False
214,Scarhino,Insecte,Combat,500,80,125,75,40,95,85,2,False
214,ScarhinoMéga-Scarhino,Insecte,Combat,600,80,185,115,40,105,75,2,False
215,Farfuret,Tenebres,Glace,430,55,95,55,35,75,115,2,False
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False
218,Limagma,Feu,,250,40,40,40,70,40,20,2,False
219,Volcaropod,Feu,Roche,410,50,50,120,80,80,30,2,False
220,Marcacrin,Glace,Sol,250,50,50,40,30,30,50,2,False
221,Cochignon,Glace,Sol,450,100,100,80,60,60,50,2,False
222,Corayon,Eau,Roche,380,55,55,85,65,85,35,2,False
223,Rémoraid,Eau,,300,35,65,35,65,35,65,2,False
224,Octillery,Eau,,480,75,105,75,105,75,45,2,False
225,Cadoizo,Glace,Vol,330,45,55,45,65,45,75,2,False
226,Démanta,Eau,Vol,465,65,40,70,80,140,70,2,False
227,Airmure,Acier,Vol,465,65,80,140,40,70,70,2,False
228,Malosse,Tenebres,Feu,330,45,60,30,80,50,65,2,False
229,Démolosse,Tenebres,Feu,500,75,90,50,110,80,95,2,False
229,DémolosseMéga-Démolosse,Tenebres,Feu,600,75,90,90,140,90,115,2,False
230,Hyporoi,Eau,Dragon,540,75,95,95,95,95,85,2,False
231,Phanpy,Sol,,330,90,60,60,40,40,40,2,False
232,Donphan,Sol,,500,90,120,120,60,60,50,2,False
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False
234,Cerfrousse,Normal,,465,73,95,62,85,65,85,2,False
235,Queulorior,Normal,,250,55,20,35,20,45,75,2,False
236,Debugant,Combat,,210,35,35,35,35,35,35,2,False
237,Kapoera,Combat,,455,50,95,95,35,110,70,2,False
238,Lippouti,Glace,Psy,305,45,30,15,85,65,65,2,False
239,Élekid,Electrik,,360,45,63,37,65,55,95,2,False
240,Magby,Feu,,365,45,75,37,70,55,83,2,False
241,Écrémeuh,Normal,,490,95,80,105,40,70,100,2,False
242,Leuphorie,Normal,,540,255,10,10,75,135,55,2,False
243,Raikou,Electrik,,580,90,85,75,115,100,115,2,True
244,Entei,Feu,,580,115,115,85,90,75,100,2,True
245,Suicune,Eau,,580,100,75,115,90,115,85,2,True
246,Embrylex,Roche,Sol,300,50,64,50,45,50,41,2,False
247,Ymphect,Roche,Sol,410,70,84,70,65,70,51,2,False
248,Tyranocif,Roche,Tenebres,600,100,134,110,95,100,61,2,False
248,TyranitarMega Tyranitar,Roche,Tenebres,700,100,164,150,95,120,71,2,False
249,Lugia,Psy,Vol,680,106,90,130,90,154,110,2,True
250,Ho-oh,Feu,Vol,680,106,130,90,110,154,90,2,True
251,Celebi,Psy,Plante,600,100,100,100,100,100,100,2,False
252,Arcko,Plante,,310,40,45,35,65,55,70,3,False
253,Massko,Plante,,405,50,65,45,85,65,95,3,False
254,Jungko,Plante,,530,70,85,65,105,85,120,3,False
254,SceptileMega Sceptile,Plante,Dragon,630,70,110,75,145,85,145,3,False
255,Poussifeu,Feu,,310,45,60,40,70,50,45,3,False
256,Galifeu,Feu,Combat,405,60,85,60,85,60,55,3,False
257,Braségali,Feu,Combat,530,80,120,70,110,70,80,3,False
257,BlazikenMega Blaziken,Feu,Combat,630,80,160,80,130,80,100,3,False
258,Gobou,Eau,,310,50,70,50,50,50,40,3,False
259,Flobio,Eau,Sol,405,70,85,70,60,70,50,3,False
260,Laggron,Eau,Sol,535,100,110,90,85,90,60,3,False
260,SwampertMega Swampert,Eau,Sol,635,100,150,110,95,110,70,3,False
261,Medhyèna,Tenebres,,220,35,55,35,30,30,35,3,False
262,Grahyèna,Tenebres,,420,70,90,70,60,60,70,3,False
263,Zigzaton,Normal,,240,38,30,41,30,41,60,3,False
264,Linéon,Normal,,420,78,70,61,50,61,100,3,False
265,Chenipotte,Insecte,,195,45,45,35,20,30,20,3,False
266,Armulys,Insecte,,205,50,35,55,25,25,15,3,False
267,Charmillon,Insecte,Vol,395,60,70,50,100,50,65,3,False
268,Blindalys,Insecte,,205,50,35,55,25,25,15,3,False
269,Papinox,Insecte,Poison,385,60,50,70,50,90,65,3,False
270,Nénupiot,Eau,Plante,220,40,30,30,40,50,30,3,False
271,Lombre,Eau,Plante,340,60,50,50,60,70,50,3,False
272,Ludicolo,Eau,Plante,480,80,70,70,90,100,70,3,False
273,Grainipiot,Plante,,220,40,40,50,30,30,30,3,False
274,Pifeuil,Plante,Tenebres,340,70,70,40,60,40,60,3,False
275,Tengalice,Plante,Tenebres,480,90,100,60,90,60,80,3,False
276,Nirondelle,Normal,Vol,270,40,55,30,30,30,85,3,False
277,Hélédelle,Normal,Vol,430,60,85,60,50,50,125,3,False
278,Goélise,Eau,Vol,270,40,30,30,55,30,85,3,False
279,Bekipan,Eau,Vol,430,60,50,100,85,70,65,3,False
280,Tarsal,Psy,Fee,198,28,25,25,45,35,40,3,False
281,Kirlia,Psy,Fee,278,38,35,35,65,55,50,3,False
282,Gardevoir,Psy,Fee,518,68,65,65,125,115,80,3,False
282,GardevoirMega Gardevoir,Psy,Fee,618,68,85,65,165,135,100,3,False
283,Arakdo,Insecte,Eau,269,40,30,32,50,52,65,3,False
284,Maskadra,Insecte,Vol,414,70,60,62,80,82,60,3,False
285,Balignon,Plante,,295,60,40,60,40,60,35,3,False
286,Chapignon,Plante,Combat,460,60,130,80,60,60,70,3,False
287,Parecool,Normal,,280,60,60,60,35,35,30,3,False
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False
289,Monaflemit,Normal,,670,150,160,100,95,65,100,3,False
290,Ningale,Insecte,Sol,266,31,45,90,30,30,40,3,False
291,Ninjask,Insecte,Vol,456,61,90,45,50,50,160,3,False
292,Munja,Insecte,Spectre,236,1,90,45,30,30,40,3,False
293,Chuchmur,Normal,,240,64,51,23,51,23,28,3,False
294,Ramboum,Normal,,360,84,71,43,71,43,48,3,False
295,Brouhabam,Normal,,490,104,91,63,91,73,68,3,False
296,Makuhita,Combat,,237,72,60,30,20,30,25,3,False
297,Hariyama,Combat,,474,144,120,60,40,60,50,3,False
298,Azurill,Normal,Fee,190,50,20,40,20,40,20,3,False
299,Tarinor,Roche,,375,30,45,135,45,90,30,3,False
300,Skitty,Normal,,260,50,45,45,35,35,50,3,False
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False
302,Ténéfix,Tenebres,Spectre,380,50,75,75,65,65,50,3,False
302,SableyeMega Sableye,Tenebres,Spectre,480,50,85,125,85,115,20,3,False
303,Mysdibule,Acier,Fee,380,50,85,85,55,55,50,3,False
303,MawileMega Mawile,Acier,Fee,480,50,105,125,55,95,50,3,False
304,Galekid,Acier,Roche,330,50,70,100,40,40,30,3,False
305,Galegon,Acier,Roche,430,60,90,140,50,50,40,3,False
306,Galeking,Acier,Roche,530,70,110,180,60,60,50,3,False
306,AggronMega Aggron,Acier,,630,70,140,230,60,80,50,3,False
307,Méditikka,Combat,Psy,280,30,40,55,40,55,60,3,False
308,Charmina,Combat,Psy,410,60,60,75,60,75,80,3,False
308,MedichamMega Medicham,Combat,Psy,510,60,100,85,80,85,100,3,False
309,Dynavolt,Electrik,,295,40,45,40,65,40,65,3,False
310,Élecsprint,Electrik,,475,70,75,60,105,60,105,3,False
310,ManectricMega Manectric,Electrik,,575,70,75,80,135,80,135,3,False
311,Posipi,Electrik,,405,60,50,40,85,75,95,3,False
312,Négapi,Electrik,,405,60,40,50,75,85,95,3,False
313,Muchelle,Insecte,,400,65,73,55,47,75,85,3,False
314,Lumivole,Insecte,,400,65,47,55,73,75,85,3,False
315,Rosélia,Plante,Poison,400,50,60,45,100,80,65,3,False
316,Gloupti,Poison,,302,70,43,53,43,53,40,3,False
317,Avaltout,Poison,,467,100,73,83,73,83,55,3,False
318,Carvanha,Eau,Tenebres,305,45,90,20,65,20,65,3,False
319,Sharpedo,Eau,Tenebres,460,70,120,40,95,40,95,3,False
319,SharpedoMega Sharpedo,Eau,Tenebres,560,70,140,70,110,65,105,3,False
320,Wailmer,Eau,,400,130,70,35,70,35,60,3,False
321,Wailord,Eau,,500,170,90,45,90,45,60,3,False
322,Chamallot,Feu,Sol,305,60,60,40,65,45,35,3,False
323,Camérupt,Feu,Sol,460,70,100,70,105,75,40,3,False
323,CameruptMega Camerupt,Feu,Sol,560,70,120,100,145,105,20,3,False
324,Chartor,Feu,,470,70,85,140,85,70,20,3,False
325,Spoink,Psy,,330,60,25,35,70,80,60,3,False
326,Groret,Psy,,470,80,45,65,90,110,80,3,False
327,Spinda,Normal,,360,60,60,60,60,60,60,3,False
328,Kraknoix,Sol,,290,45,100,45,45,45,10,3,False
329,Vibraninf,Sol,Dragon,340,50,70,50,50,50,70,3,False
330,Libégon,Sol,Dragon,520,80,100,80,80,80,100,3,False
331,Cacnea,Plante,,335,50,85,40,85,40,35,3,False
332,Cacturne,Plante,Tenebres,475,70,115,60,115,60,55,3,False
333,Tylton,Normal,Vol,310,45,40,60,40,75,50,3,False
334,Altaria,Dragon,Vol,490,75,70,90,70,105,80,3,False
334,AltariaMega Altaria,Dragon,Fee,590,75,110,110,110,105,80,3,False
335,Mangriff,Normal,,458,73,115,60,60,60,90,3,False
336,Séviper,Poison,,458,73,100,60,100,60,65,3,False
337,Séléroc,Roche,Psy,440,70,55,65,95,85,70,3,False
338,Solaroc,Roche,Psy,440,70,95,85,55,65,70,3,False
339,Barloche,Eau,Sol,288,50,48,43,46,41,60,3,False
340,Barbicha,Eau,Sol,468,110,78,73,76,71,60,3,False
341,Écrapince,Eau,,308,43,80,65,50,35,35,3,False
342,Colhomard,Eau,Tenebres,468,63,120,85,90,55,55,3,False
343,Balbuto,Sol,Psy,300,40,40,55,40,70,55,3,False
344,Kaorine,Sol,Psy,500,60,70,105,70,120,75,3,False
345,Lilia,Roche,Plante,355,66,41,77,61,87,23,3,False
346,Vacilys,Roche,Plante,495,86,81,97,81,107,43,3,False
347,Anorith,Roche,Insecte,355,45,95,50,40,50,75,3,False
348,Armaldo,Roche,Insecte,495,75,125,100,70,80,45,3,False
349,Barpau,Eau,,200,20,15,20,10,55,80,3,False
350,Milobellus,Eau,,540,95,60,79,100,125,81,3,False
351,Morphéo,Normal,,420,70,70,70,70,70,70,3,False
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False
353,Polichombr,Spectre,,295,44,75,35,63,33,45,3,False
354,Branette,Spectre,,455,64,115,65,83,63,65,3,False
354,BanetteMega Banette,Spectre,,555,64,165,75,93,83,75,3,False
355,Skelénox,Spectre,,295,20,40,90,30,90,25,3,False
356,Téraclope,Spectre,,455,40,70,130,60,130,25,3,False
357,Tropius,Plante,Vol,460,99,68,83,72,87,51,3,False
358,Éoko,Psy,,425,65,50,70,95,80,65,3,False
359,Absol,Tenebres,,465,65,130,60,75,60,75,3,False
359,AbsolMega Absol,Tenebres,,565,65,150,60,115,60,115,3,False
360,Okéoké,Psy,,260,95,23,48,23,48,23,3,False
361,Stalgamin,Glace,,300,50,50,50,50,50,50,3,False
362,Oniglali,Glace,,480,80,80,80,80,80,80,3,False
362,GlalieMega Glalie,Glace,,580,80,120,80,120,80,100,3,False
363,Obalie,Glace,Eau,290,70,40,50,55,50,25,3,False
364,Phogleur,Glace,Eau,410,90,60,70,75,70,45,3,False
365,Kaimorse,Glace,Eau,530,110,80,90,95,90,65,3,False
366,Coquiperl,Eau,,345,35,64,85,74,55,32,3,False
367,Serpang,Eau,,485,55,104,105,94,75,52,3,False
368,Rosabyss,Eau,,485,55,84,105,114,75,52,3,False
369,Relicanth,Eau,Roche,485,100,90,130,45,65,55,3,False
370,Lovdisc,Eau,,330,43,30,55,40,65,97,3,False
371,Draby,Dragon,,300,45,75,60,40,30,50,3,False
372,Drackhaus,Dragon,,420,65,95,100,60,50,50,3,False
373,Drattak,Dragon,Vol,600,95,135,80,110,80,100,3,False
373,SalamenceMega Salamence,Dragon,Vol,700,95,145,130,120,90,120,3,False
374,Terhal,Acier,Psy,300,40,55,80,35,60,30,3,False
375,Metang,Acier,Psy,420,60,75,100,55,80,50,3,False
376,Metagross,Acier,Psy,600,80,135,130,95,90,70,3,False
376,MetagrossMega Metagross,Acier,Psy,700,80,145,150,105,110,110,3,False
